 Šifra ravni ; Šifra kategorije ; Deskriptor ; Deskriptor (angleški) ; Šifra starša;
1; A;KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO;AGRICULTURE, FORESTRY AND FISHING; ;
2; A01;Kmetijska proizvodnja in lov ter z njima povezane storitve;Crop and animal production, hunting and related service activities; A;
3; A01.1;Pridelovanje netrajnih rastlin;Growing of non-perennial crops; A01;
4; A01.11;Pridelovanje žit (razen riža), stroènic in oljnic;Growing of cereals (except rice), leguminous crops and oil seeds; A01.1;
5; A01.110;Pridelovanje žit (razen riža), stroènic in oljnic;Growing of cereals (except rice), leguminous crops and oil seeds; A01.11;
4; A01.12;Pridelovanje riža;Growing of rice; A01.1;
5; A01.120;Pridelovanje riža;Growing of rice; A01.12;
4; A01.13;Pridelovanje zelenjadnic in melon, korenovk in gomoljnic;Growing of vegetables and melons, roots and tubers; A01.1;
5; A01.130;Pridelovanje zelenjadnic in melon, korenovk in gomoljnic;Growing of vegetables and melons, roots and tubers; A01.13;
4; A01.14;Pridelovanje sladkornega trsa;Growing of sugar cane; A01.1;
5; A01.140;Pridelovanje sladkornega trsa;Growing of sugar cane; A01.14;
4; A01.15;Pridelovanje tobaka;Growing of tobacco; A01.1;
5; A01.150;Pridelovanje tobaka;Growing of tobacco; A01.15;
4; A01.16;Pridelovanje rastlin za vlakna;Growing of fibre crops; A01.1;
5; A01.160;Pridelovanje rastlin za vlakna;Growing of fibre crops; A01.16;
4; A01.19;Pridelovanje cvetja in drugih enoletnih rastlin;Growing of other non-perennial crops; A01.1;
5; A01.190;Pridelovanje cvetja in drugih enoletnih rastlin;Growing of other non-perennial crops; A01.19;
3; A01.2;Gojenje trajnih nasadov;Growing of perennial crops; A01;
4; A01.21;Vinogradništvo;Growing of grapes; A01.2;
5; A01.210;Vinogradništvo;Growing of grapes; A01.21;
4; A01.22;Gojenje tropskega in subtropskega sadja;Growing of tropical and subtropical fruits; A01.2;
5; A01.220;Gojenje tropskega in subtropskega sadja;Growing of tropical and subtropical fruits; A01.22;
4; A01.23;Gojenje citrusov;Growing of citrus fruits; A01.2;
5; A01.230;Gojenje citrusov;Growing of citrus fruits; A01.23;
4; A01.24;Gojenje peèkatega in košèièastega sadja;Growing of pome fruits and stone fruits; A01.2;
5; A01.240;Gojenje peèkatega in košèièastega sadja;Growing of pome fruits and stone fruits; A01.24;
4; A01.25;Gojenje drugih sadnih dreves in grmovnic;Growing of other tree and bush fruits and nuts; A01.2;
5; A01.250;Gojenje drugih sadnih dreves in grmovnic;Growing of other tree and bush fruits and nuts; A01.25;
4; A01.26;Pridelovanje oljnih sadežev;Growing of oleaginous fruits; A01.2;
5; A01.260;Pridelovanje oljnih sadežev;Growing of oleaginous fruits; A01.26;
4; A01.27;Gojenje rastlin za izdelavo napitkov;Growing of beverage crops; A01.2;
5; A01.270;Gojenje rastlin za izdelavo napitkov;Growing of beverage crops; A01.27;
4; A01.28;Gojenje zaèimbnih, aromatskih in zdravilnih rastlin;Growing of spices, aromatic, drug and pharmaceutical crops; A01.2;
5; A01.280;Gojenje zaèimbnih, aromatskih in zdravilnih rastlin;Growing of spices, aromatic, drug and pharmaceutical crops; A01.28;
4; A01.29;Gojenje drugih trajnih nasadov;Growing of other perennial crops; A01.2;
5; A01.290;Gojenje drugih trajnih nasadov;Growing of other perennial crops; A01.29;
3; A01.3;Razmnoževanje rastlin;Plant propagation; A01;
4; A01.30;Razmnoževanje rastlin;Plant propagation; A01.3;
5; A01.300;Razmnoževanje rastlin;Plant propagation; A01.30;
3; A01.4;Živinoreja;Animal production; A01;
4; A01.41;Prireja mleka;Raising of dairy cattle; A01.4;
5; A01.410;Prireja mleka;Raising of dairy cattle; A01.41;
4; A01.42;Druga govedoreja;Raising of other cattle and buffaloes; A01.4;
5; A01.420;Druga govedoreja;Raising of other cattle and buffaloes; A01.42;
4; A01.43;Konjereja;Raising of horses and other equines; A01.4;
5; A01.430;Konjereja;Raising of horses and other equines; A01.43;
4; A01.44;Reja kamel;Raising of camels and camelids; A01.4;
5; A01.440;Reja kamel;Raising of camels and camelids; A01.44;
4; A01.45;Reja drobnice;Raising of sheep and  goats; A01.4;
5; A01.450;Reja drobnice;Raising of sheep and  goats; A01.45;
4; A01.46;Prašièereja;Raising of swine/pigs; A01.4;
5; A01.460;Prašièereja;Raising of swine/pigs; A01.46;
4; A01.47;Reja perutnine;Raising of poultry; A01.4;
5; A01.470;Reja perutnine;Raising of poultry; A01.47;
4; A01.49;Reja drugih živali;Raising of other animals; A01.4;
5; A01.490;Reja drugih živali;Raising of other animals; A01.49;
3; A01.5;Mešano kmetijstvo;Mixed farming; A01;
4; A01.50;Mešano kmetijstvo;Mixed farming; A01.5;
5; A01.500;Mešano kmetijstvo;Mixed farming; A01.50;
3; A01.6;Storitve za kmetijsko proizvodnjo, priprava pridelkov;Support activities to agriculture and post-harvest crop activities; A01;
4; A01.61;Storitve za rastlinsko pridelavo;Support activities for crop production; A01.6;
5; A01.610;Storitve za rastlinsko pridelavo;Support activities for crop production; A01.61;
4; A01.62;Storitve za živinorejo, razen veterinarskih;Support activities for animal production; A01.6;
5; A01.620;Storitve za živinorejo, razen veterinarskih;Support activities for animal production; A01.62;
4; A01.63;Priprava pridelkov;Post-harvest crop activities; A01.6;
5; A01.630;Priprava pridelkov;Post-harvest crop activities; A01.63;
4; A01.64;Obdelava semen;Seed processing for propagation; A01.6;
5; A01.640;Obdelava semen;Seed processing for propagation; A01.64;
3; A01.7;Lovstvo;Hunting, trapping and related service activities; A01;
4; A01.70;Lovstvo;Hunting, trapping and related service activities; A01.7;
5; A01.700;Lovstvo;Hunting, trapping and related service activities; A01.70;
2; A02;Gozdarstvo;Forestry and logging; A;
3; A02.1;Gojenje gozdov in druge gozdarske dejavnosti;Silviculture and other forestry activities; A02;
4; A02.10;Gojenje gozdov in druge gozdarske dejavnosti;Silviculture and other forestry activities; A02.1;
5; A02.100;Gojenje gozdov in druge gozdarske dejavnosti;Silviculture and other forestry activities; A02.10;
3; A02.2;Seènja;Logging; A02;
4; A02.20;Seènja;Logging; A02.2;
5; A02.200;Seènja;Logging; A02.20;
3; A02.3;Nabiranje gozdnih dobrin, razen lesa;Gathering of wild growing non-wood products; A02;
4; A02.30;Nabiranje gozdnih dobrin, razen lesa;Gathering of wild growing non-wood products; A02.3;
5; A02.300;Nabiranje gozdnih dobrin, razen lesa;Gathering of wild growing non-wood products; A02.30;
3; A02.4;Storitve za gozdarstvo;Support services to forestry; A02;
4; A02.40;Storitve za gozdarstvo;Support services to forestry; A02.4;
5; A02.400;Storitve za gozdarstvo;Support services to forestry; A02.40;
2; A03;Ribištvo in gojenje vodnih organizmov;Fishing and aquaculture; A;
3; A03.1;Ribištvo;Fishing; A03;
4; A03.11;Morsko ribištvo;Marine fishing; A03.1;
5; A03.110;Morsko ribištvo;Marine fishing; A03.11;
4; A03.12;Sladkovodno ribištvo;Freshwater fishing; A03.1;
5; A03.120;Sladkovodno ribištvo;Freshwater fishing; A03.12;
3; A03.2;Gojenje vodnih organizmov;Aquaculture; A03;
4; A03.21;Gojenje morskih organizmov;Marine aquaculture; A03.2;
5; A03.210;Gojenje morskih organizmov;Marine aquaculture; A03.21;
4; A03.22;Gojenje sladkovodnih organizmov;Freshwater aquaculture; A03.2;
5; A03.220;Gojenje sladkovodnih organizmov;Freshwater aquaculture; A03.22;
